source_location,source_root,relative_path,filename,extension,size_bytes,file_format,readable,condition_code,speed_code,torque_code,radial_force_code,bearing_code,repeat_index,health_status_guess,damage_group_guess,label_source,top_level_keys,notes
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/K001.pdf,K001.pdf,.pdf,41046,pdf,False,,,,,K001,,healthy,,bearing_code_prefix,,No metadata inspector is implemented for this extension
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/measuring_log_K001.pdf,measuring_log_K001.pdf,.pdf,139011,pdf,False,,,,,K001,,healthy,,bearing_code_prefix,,No metadata inspector is implemented for this extension
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,.mat,8741432,matlab,True,N09_M07_F10,N09,M07,F10,K001,1,healthy,,bearing_code_prefix,N09_M07_F10_K001_1:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,.mat,8734520,matlab,True,N09_M07_F10,N09,M07,F10,K001,10,healthy,,bearing_code_prefix,N09_M07_F10_K001_10:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_11.mat,N09_M07_F10_K001_11.mat,.mat,8718136,matlab,True,N09_M07_F10,N09,M07,F10,K001,11,healthy,,bearing_code_prefix,N09_M07_F10_K001_11:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_12.mat,N09_M07_F10_K001_12.mat,.mat,8714872,matlab,True,N09_M07_F10,N09,M07,F10,K001,12,healthy,,bearing_code_prefix,N09_M07_F10_K001_12:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_13.mat,N09_M07_F10_K001_13.mat,.mat,8714872,matlab,True,N09_M07_F10,N09,M07,F10,K001,13,healthy,,bearing_code_prefix,N09_M07_F10_K001_13:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_14.mat,N09_M07_F10_K001_14.mat,.mat,8714936,matlab,True,N09_M07_F10,N09,M07,F10,K001,14,healthy,,bearing_code_prefix,N09_M07_F10_K001_14:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_15.mat,N09_M07_F10_K001_15.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,15,healthy,,bearing_code_prefix,N09_M07_F10_K001_15:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_16.mat,N09_M07_F10_K001_16.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,16,healthy,,bearing_code_prefix,N09_M07_F10_K001_16:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_17.mat,N09_M07_F10_K001_17.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,17,healthy,,bearing_code_prefix,N09_M07_F10_K001_17:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_18.mat,N09_M07_F10_K001_18.mat,.mat,8714872,matlab,True,N09_M07_F10,N09,M07,F10,K001,18,healthy,,bearing_code_prefix,N09_M07_F10_K001_18:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_19.mat,N09_M07_F10_K001_19.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,19,healthy,,bearing_code_prefix,N09_M07_F10_K001_19:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_2.mat,N09_M07_F10_K001_2.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,2,healthy,,bearing_code_prefix,N09_M07_F10_K001_2:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_20.mat,N09_M07_F10_K001_20.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,20,healthy,,bearing_code_prefix,N09_M07_F10_K001_20:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_3.mat,N09_M07_F10_K001_3.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,3,healthy,,bearing_code_prefix,N09_M07_F10_K001_3:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_4.mat,N09_M07_F10_K001_4.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,4,healthy,,bearing_code_prefix,N09_M07_F10_K001_4:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_5.mat,N09_M07_F10_K001_5.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,5,healthy,,bearing_code_prefix,N09_M07_F10_K001_5:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_6.mat,N09_M07_F10_K001_6.mat,.mat,8761816,matlab,True,N09_M07_F10,N09,M07,F10,K001,6,healthy,,bearing_code_prefix,N09_M07_F10_K001_6:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_7.mat,N09_M07_F10_K001_7.mat,.mat,8714968,matlab,True,N09_M07_F10,N09,M07,F10,K001,7,healthy,,bearing_code_prefix,N09_M07_F10_K001_7:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_8.mat,N09_M07_F10_K001_8.mat,.mat,8741048,matlab,True,N09_M07_F10,N09,M07,F10,K001,8,healthy,,bearing_code_prefix,N09_M07_F10_K001_8:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N09_M07_F10_K001_9.mat,N09_M07_F10_K001_9.mat,.mat,8714904,matlab,True,N09_M07_F10,N09,M07,F10,K001,9,healthy,,bearing_code_prefix,N09_M07_F10_K001_9:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N15_M01_F10_K001_1.mat,N15_M01_F10_K001_1.mat,.mat,8717240,matlab,True,N15_M01_F10,N15,M01,F10,K001,1,healthy,,bearing_code_prefix,N15_M01_F10_K001_1:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N15_M01_F10_K001_10.mat,N15_M01_F10_K001_10.mat,.mat,8725496,matlab,True,N15_M01_F10,N15,M01,F10,K001,10,healthy,,bearing_code_prefix,N15_M01_F10_K001_10:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N15_M01_F10_K001_11.mat,N15_M01_F10_K001_11.mat,.mat,8714904,matlab,True,N15_M01_F10,N15,M01,F10,K001,11,healthy,,bearing_code_prefix,N15_M01_F10_K001_11:1x1:struct,
canonical_raw_root,data/raw/paderborn,data/raw/paderborn/K001/N15_M01_F10_K001_12.mat,N15_M01_F10_K001_12.mat,.mat,8717752,matlab,True,N15_M01_F10,N15,M01,F10,K001,12,healthy,,bearing_code_prefix,N15_M01_F10_K001_12:1x1:struct,
